,NAME,RA,DEC,VMAG,DIST
191,2MASS J11145133-2618235,168.71,-26.31,,18.20
193,2MASS J18353790+3259545,278.91,33.00,18.27,18.48
195,Wolf 1453,82.86,-3.67,7.95,18.53
197,Luyten 347-14,290.20,-45.56,12.23,18.60
199,2MASS J04151954-0935066,63.83,-9.59,,18.62
201,WISEP J154151.66-225025.2,235.47,-22.84,,18.63
203,LP 816-60,313.14,-16.97,11.50,18.63
205,Sigma Draconis,293.09,69.67,4.67,18.77
207,Luyten 668-21 A,92.64,-21.86,8.14,18.89
208,Luyten 668-21 B,92.64,-21.86,,18.89
210,Ross 47,85.53,12.49,11.57,19.02
212,Luyten 205-128,266.65,-57.32,10.76,19.06
214,Wolf 1055 A,289.23,5.17,9.10,19.08
215,Wolf 1055 B,289.24,5.15,17.45,19.05
216,Wolf 1055 Bb,289.24,5.15,,19.05
218,Lalande 27173 A,224.36,-21.41,5.64,19.12
219,Lalande 27173 B,224.36,-21.41,8.30,19.12
220,Lalande 27173 C,224.36,-21.41,9.96,19.12
221,Lalande 27173 D,224.31,-21.36,,19.12
223,WISEP J053516.80-750024.9,83.82,-75.01,,19.17  2
225,Lalande 46650,357.30,2.40,8.98,19.29
227,CD-40 9712,233.06,-41.27,9.31,19.33
229,TYC 3980-1081-1,327.91,59.29,10.64,19.33  2
231,36 Ophiuchi A,258.84,-26.60,5.07,19.35
232,36 Ophiuchi B,258.84,-26.60,5.08,19.35
233,36 Ophiuchi C,259.06,-26.54,6.32,19.47
235,Luyten 722-22 A,3.87,-16.13,11.60,19.37
236,Luyten 722-22 B,3.87,-16.13,14.02,19.37
238,Eta Cassiopeiae A,12.27,57.82,3.46,19.39
239,Eta Cassiopeiae B,12.27,57.82,7.21,19.39
241,WISE J200050.19+362950.1,300.21,36.50,,19.39  3
243,Ross 882,116.17,3.55,11.19,19.51
245,IPMS J013656.57+093347.3,24.24,9.56,,19.57
247,HD 191408 A,302.80,-36.10,5.31,19.62
248,HD 191408 B,302.80,-36.10,11.50,19.62
250,82 Eridani,49.97,-43.07,4.26,19.71
251,82 Eridani a,49.97,-43.07,,19.71
252,82 Eridani b,49.97,-43.07,,19.71
253,82 Eridani c,49.97,-43.07,,19.71
255,WISEP J025409.45+022359.1,43.54,2.40,,19.77
257,LP 44-113,267.03,70.88,14.22,19.80
259,Delta Pavonis,302.17,-66.18,3.55,19.92
261,Ross 986 A,107.51,38.53,12.05,19.96
262,Ross 986 B,107.51,38.53,12.45,19.96
264,2MASS J09373487+2931409,144.39,29.53,,19.97
266,HD 191849,303.47,-45.16,7.95,20.10
268,WISE J07200320-0846513 A,110.01,-8.78,19.4,20.22  1
269,WISE J07200320-0846513 B,110.01,-8.78,,20.22  1
271,WISEPA J041022.71+150248.5,62.59,15.05,,20.37
273,BD+19 5116 A,352.97,19.94,10.27,20.40
274,BD+19 5116 B,352.97,19.94,12.21,20.40
276,LHS 3003,224.16,-28.16,17.14,20.49
